latency,duration,type,marker_value,key,timestamp,marker_id
566.576775,0.000000,4,4,-1,1716508427.000436,180
569.889450,0.000000,3,3,-1,1716508430.313111,181
572.772415,0.000000,4,4,-1,1716508433.196076,182
576.460109,0.000000,2,2,-1,1716508436.883770,183
579.358700,0.000000,2,2,-1,1716508439.782361,184
582.257290,0.000000,8,8,-1,1716508442.680951,185
585.155881,0.000000,3,3,-1,1716508445.579542,186
588.445117,0.000000,1,1,-1,1716508448.868778,187
591.742166,0.000000,3,3,-1,1716508452.165827,188
595.023589,0.000000,4,4,-1,1716508455.447250,189
598.320638,0.000000,1,1,-1,1716508458.744299,190
601.625500,0.000000,7,7,-1,1716508462.049161,191
604.922549,0.000000,6,6,-1,1716508465.346210,192
608.219598,0.000000,2,2,-1,1716508468.643259,193
611.524459,0.000000,5,5,-1,1716508471.948120,194
614.407424,0.000000,8,8,-1,1716508474.831085,195
617.290389,0.000000,1,1,-1,1716508477.714050,196
620.173354,0.000000,6,6,-1,1716508480.597015,197
623.056318,0.000000,5,5,-1,1716508483.479979,198
625.939283,0.000000,4,4,-1,1716508486.362944,199
628.822247,0.000000,3,3,-1,1716508489.245908,200
632.127109,0.000000,5,5,-1,1716508492.550770,201
635.002261,0.000000,6,6,-1,1716508495.425922,202
637.893039,0.000000,3,3,-1,1716508498.316700,203
640.768190,0.000000,2,2,-1,1716508501.191851,204
643.658968,0.000000,8,8,-1,1716508504.082629,205
646.541932,0.000000,8,8,-1,1716508506.965593,206
649.838982,0.000000,3,3,-1,1716508510.262643,207
652.737572,0.000000,5,5,-1,1716508513.161233,208
655.620537,0.000000,1,1,-1,1716508516.044198,209
658.901960,0.000000,7,7,-1,1716508519.325621,210
662.191196,0.000000,4,4,-1,1716508522.614857,211
665.089786,0.000000,3,3,-1,1716508525.513447,212
668.371210,0.000000,4,4,-1,1716508528.794871,213
671.652633,0.000000,3,3,-1,1716508532.076294,214
674.941869,0.000000,2,2,-1,1716508535.365530,215
678.238918,0.000000,1,1,-1,1716508538.662579,216
681.137508,0.000000,7,7,-1,1716508541.561169,217
684.020473,0.000000,4,4,-1,1716508544.444134,218
687.325335,0.000000,7,7,-1,1716508547.748996,219
690.200487,0.000000,3,3,-1,1716508550.624148,220
693.106890,0.000000,2,2,-1,1716508553.530551,221
696.388313,0.000000,7,7,-1,1716508556.811974,222
699.271278,0.000000,1,1,-1,1716508559.694939,223
702.568327,0.000000,2,2,-1,1716508562.991988,224
705.857563,0.000000,6,6,-1,1716508566.281224,225
709.138986,0.000000,5,5,-1,1716508569.562647,226
712.420409,0.000000,8,8,-1,1716508572.844070,227
715.303374,0.000000,3,3,-1,1716508575.727035,228
718.592610,0.000000,4,4,-1,1716508579.016271,229
721.874033,0.000000,7,7,-1,1716508582.297694,230
725.186708,0.000000,4,4,-1,1716508585.610369,231
728.069672,0.000000,6,6,-1,1716508588.493333,232
731.374534,0.000000,8,8,-1,1716508591.798195,233
734.273125,0.000000,5,5,-1,1716508594.696786,234
737.171715,0.000000,4,4,-1,1716508597.595376,235
740.468764,0.000000,1,1,-1,1716508600.892425,236
743.773626,0.000000,3,3,-1,1716508604.197287,237
747.055049,0.000000,3,3,-1,1716508607.478710,238
749.953640,0.000000,1,1,-1,1716508610.377301,239
752.836604,0.000000,4,4,-1,1716508613.260265,240
